Date	Price(DIG)	%Change(DIG)	Volume(DIG)	%Change(Volume)	Price(Oil)	%Change(Oil)	Price(S&P500)	%Change(S&P500)
11/1/16	42.19	17.85%	3710800	10.52%	45.26	-8.18%	2164.99	1.03%
10/1/16	35.8	-6.89%	3357700	12.10%	49.29	9.44%	2143.02	-0.68%
9/1/16	38.45	5.34%	2995300	-1.26%	45.04	0.36%	2157.69	-0.61%
8/1/16	36.5	2.04%	3033600	0.19%	44.88	1.70%	2170.95	1.03%
7/1/16	35.77	-4.31%	3027800	-24.56%	44.13	-7.46%	2148.9	3.12%
6/1/16	37.38	5.03%	4013700	31.23%	47.69	3.81%	2083.89	0.89%
5/1/16	35.59	-2.63%	3058500	-22.97%	45.94	12.74%	2065.55	-0.48%
4/1/16	36.55	18.21%	3970600	-38.88%	40.75	9.13%	2075.54	2.65%
3/1/16	30.92	18.69%	6495900	-30.92%	37.34	20.34%	2021.95	6.17%
2/1/16	26.05	-4.72%	9403400	-7.30%	31.03	4.20%	1904.42	-0.74%
1/1/16	27.34	-8.65%	10143500	53.95%	29.78	-18.57%	1918.6	-6.60%
12/1/15	29.93	-21.20%	6588800	137.41%	36.57	-15.17%	2054.08	-1.28%
11/1/15	37.98	-1.43%	2775300	-32.55%	43.11	-8.20%	2080.62	2.76%
10/1/15	38.53	23.53%	4114400	-0.41%	46.96	1.47%	2024.81	4.13%
9/1/15	31.19	-14.78%	4131400	-28.93%	46.28	1.29%	1944.41	-4.68%
8/1/15	36.6	-9.27%	5813100	47.28%	45.69	-15.92%	2039.87	-2.59%
7/1/15	40.34	-16.13%	3947100	46.09%	54.34	-11.37%	2094.14	-0.25%
6/1/15	48.1	-7.55%	2701800	-3.89%	61.31	-1.92%	2099.29	-0.60%
5/1/15	52.03	-9.98%	2811300	-21.79%	62.51	8.64%	2111.94	0.82%
4/1/15	57.8	14.12%	3594600	1.72%	57.54	8.92%	2094.86	0.71%
3/1/15	50.65	-4.43%	3533800	-34.98%	52.83	-3.58%	2079.99	-0.11%
2/1/15	53	9.69%	5435000	-34.99%	54.79	16.30%	2082.2	2.66%
1/1/15	48.32	-10.54%	8359700	9.62%	47.11	-22.39%	2028.18	-1.27%
12/1/14	54.01	-1.30%	7626200	141.20%	60.7	-21.16%	2054.27	0.47%
11/1/14	54.72	-18.12%	3161800	-40.95%	76.99	-10.56%	2044.57	5.54%
10/1/14	66.83	-8.18%	5354700	209.45%	86.08	-10.19%	1937.27	-2.81%
9/1/14	72.78	-15.28%	1730400	74.28%	95.85	-4.20%	1993.23	1.62%
8/1/14	85.91	5.74%	992900	2.61%	100.05	-4.92%	1961.53	-0.59%
7/1/14	81.25	-8.00%	967600	-23.42%	105.23	-2.90%	1973.1	1.34%
6/1/14	88.32	11.64%	1263500	68.65%	108.37	2.52%	1947.09	3.03%
5/1/14	79.11	1.53%	749200	-36.06%	105.71	0.80%	1889.77	1.37%
4/1/14	77.92	9.85%	1171800	9.36%	104.87	0.80%	1864.26	0.04%
3/1/14	70.93	4.72%	1071500	-57.99%	104.04	-0.75%	1863.52	2.56%
2/1/14	67.73	11.03%	2550600	60.26%	104.83	2.67%	1817.04	-0.29%
1/1/14	61	-12.44%	1591500	25.49%	102.1	-3.20%	1822.36	0.81%
12/1/13	69.67	5.67%	1268200	29.24%	105.48	2.78%	1807.78	1.36%
11/1/13	65.93	0.40%	981300	-38.14%	102.63	-2.66%	1783.54	3.69%
10/1/13	65.67	8.42%	1586200	11.57%	105.43	-3.06%	1720.03	1.95%
9/1/13	60.57	4.70%	1421700	-19.33%	108.76	0.55%	1687.17	1.02%
8/1/13	57.85	-3.62%	1762400	-11.25%	108.16	2.76%	1670.09	0.08%
7/1/13	60.02	10.70%	1985900	-27.35%	105.26	5.53%	1668.68	3.08%
6/1/13	54.22	-4.78%	2733400	-2.14%	99.74	0.37%	1618.77	-1.28%
5/1/13	56.94	4.94%	2793300	-16.53%	99.37	0.53%	1639.84	4.40%
4/1/13	54.26	-2.45%	3346400	-3.86%	98.85	-3.58%	1570.7	1.28%
3/1/13	55.62	4.02%	3480800	-29.52%	102.52	-4.76%	1550.83	2.55%
2/1/13	53.47	0.11%	4938400	45.76%	107.64	2.42%	1512.31	2.16%
1/1/13	53.41	16.79%	3388100	10.47%	105.1	3.86%	1480.4	4.09%
12/1/12	45.73	1.60%	3066900	-31.62%	101.19	0.02%	1422.29	1.99%
11/1/12	45.01	-3.14%	4485200	-21.45%	101.17	-2.17%	1394.51	-3.01%
10/1/12	46.47	-4.74%	5710300	12.61%	103.41	-2.70%	1437.82	-0.39%
9/1/12	48.78	6.27%	5071000	-7.99%	106.28	0.96%	1443.42	2.85%
8/1/12	45.9	4.65%	5511200	-39.98%	105.27	8.81%	1403.45	3.21%
7/1/12	43.86	8.14%	9183000	-25.03%	96.75	6.64%	1359.78	2.74%
6/1/12	40.56	10.10%	12249500	25.50%	90.73	-12.84%	1323.48	-1.33%
5/1/12	36.84	-20.48%	9760900	67.52%	104.09	-8.43%	1341.27	-3.26%
4/1/12	46.33	-2.65%	5826800	-19.68%	113.67	-3.50%	1386.43	-0.20%
3/1/12	47.59	-7.30%	7254900	-7.37%	117.79	4.53%	1389.24	2.72%
2/1/12	51.34	12.76%	7832100	-31.36%	112.69	5.25%	1352.49	3.99%
1/1/12	45.53	3.69%	11410400	-39.24%	107.07	2.72%	1300.58	4.61%
12/1/11	43.91	-3.22%	18779600	-35.14%	104.23	-1.12%	1243.32	1.38%
11/1/11	45.37	2.12%	28954900	-34.51%	105.41	5.57%	1226.42	1.59%
10/1/11	44.43	35.58%	44212500	44.94%	99.85	-0.96%	1207.22	2.84%
9/1/11	32.77	-25.40%	30503200	-15.58%	100.82	0.33%	1173.88	-0.96%
8/1/11	43.93	-21.90%	36133500	105.31%	100.49	-6.88%	1185.31	-10.56%
7/1/11	56.25	2.05%	17599600	-41.15%	107.92	1.96%	1325.19	2.94%
6/1/11	55.12	-3.92%	29908000	0.62%	105.85	-2.05%	1287.29	-3.81%
5/1/11	57.37	-8.98%	29724000	84.80%	108.07	-7.03%	1338.31	0.51%
4/1/11	63.03	1.84%	16084500	-46.48%	116.24	6.99%	1331.51	2.07%
3/1/11	61.89	2.13%	30055600	12.39%	108.65	10.97%	1304.49	-1.26%
2/1/11	60.6	14.99%	26742500	-3.17%	97.91	5.63%	1321.12	3.00%
1/1/11	52.7	15.04%	27617400	20.32%	92.69	2.98%	1282.62	3.31%
12/1/10	45.81	18.16%	22952600	-11.47%	90.01	6.48%	1241.53	3.56%
11/1/10	38.77	11.44%	25925200	-20.90%	84.53	3.44%	1198.89	2.33%
10/1/10	34.79	10.44%	32776300	17.40%	81.72	7.36%	1171.58	4.41%
9/1/10	31.5	19.50%	27919000	-26.10%	76.12	0.38%	1122.08	3.20%
8/1/10	26.36	-8.95%	37780000	-25.66%	75.83	1.68%	1087.28	0.69%
7/1/10	28.95	15.48%	50818700	-34.55%	74.58	-0.20%	1079.8	-0.33%
6/1/10	25.07	-12.50%	77639900	-24.78%	74.73	-1.18%	1083.36	-3.71%
5/1/10	28.65	-23.05%	103210600	58.67%	75.62	-10.17%	1125.06	-6.04%
4/1/10	37.23	8.64%	65046700	-0.09%	84.18	6.15%	1197.32	3.93%
3/1/10	34.27	5.45%	65102600	-34.21%	79.3	6.07%	1152.05	5.77%
2/1/10	32.5	3.40%	98959800	22.45%	74.76	-3.06%	1089.16	-3.06%
1/1/10	31.43	-8.98%	80818900	-0.47%	77.12	2.99%	1123.58	1.19%
